,MAE,sMAPE,rMAE
2019-10-27,7.050507014592488,33.30835671567734,0.8505047289599141
2019-10-28,6.4090816116333,14.726395849794216,1.499200376990245
2019-10-29,7.285839964548747,15.416160521753222,1.882038092230868
2019-10-30,6.327113297780355,13.334875775689477,1.1374585703874796
2019-10-31,3.665507074991862,8.194750801313818,0.5025258185753725
2019-11-01,7.293964850107829,19.936897937076306,1.2843371709654285
2019-11-02,3.3275429884592693,11.029569312441685,0.5740029592684717
2019-11-03,6.9556511147816975,21.1098287154668,0.7927232554776492
2019-11-04,3.726470416386922,10.930302563119614,0.7532661500318886
2019-11-05,6.667024335861207,15.599475827867257,1.2179067138123685
2019-11-06,11.908375841776532,23.829018396479743,2.376328429389181
2019-11-07,3.2709914652506513,7.58353222060453,0.6388135337783029
2019-11-08,9.377846647898355,20.360556397850992,0.6506557183936877
2019-11-09,2.1099952316284187,5.02551774554759,0.19330414001252832
2019-11-10,3.314738032023113,7.564698772514696,0.47817342530837714
2019-11-11,4.966159362792969,11.95469735512816,0.8327824532352659
2019-11-12,3.9780673789978027,10.082325989826373,0.8035147037194688
2019-11-13,5.0940827369689945,10.211575551511022,0.8053355226088916
2019-11-14,3.9742870903015137,8.478390641025484,1.163347849338167
2019-11-15,4.107078723907471,10.799947952511955,0.42136489280459677
2019-11-16,3.331090316772461,8.91346720175896,0.974953263445598
2019-11-17,4.19581257502238,11.723932463624061,0.9410288926318768
2019-11-18,5.456728833516439,13.596546756360024,1.0804512169325513
2019-11-19,9.285616308848065,17.87786054283608,1.2845396934252897
2019-11-20,7.6378092956542964,14.326873677306908,1.2972006446514976
2019-11-21,6.0686164983113615,12.064728671090535,1.562063448728793
2019-11-22,3.0784560585021965,7.236988353556568,0.5119028989402946
2019-11-23,6.2345472590128574,18.10132100495775,0.9613179197963931
2019-11-24,6.421941289901732,26.355210783598054,0.9009036179427261
2019-11-25,6.662020009358724,13.026478663629181,0.6584650367540127
2019-11-26,2.8747116152445478,5.9969128461139425,0.31391882230352697
2019-11-27,3.133008988698324,7.324346745457063,0.27593473661930196
2019-11-28,3.674441261291504,9.45145159070019,0.38091914073256483
2019-11-29,7.475579331715902,22.161902389506395,1.1090678368126452
2019-11-30,2.714433409372966,6.2879707778453735,0.276079170339243
2019-12-01,2.148385753631592,5.139447002007824,0.1935845995387956
2019-12-02,4.113185342152914,8.667231940058322,0.8161756776491934
2019-12-03,5.759126262664796,10.990280602161489,1.0175883847747558
2019-12-04,5.217401593526204,10.710034726621853,0.9960833525147473
2019-12-05,5.189826901753744,12.523598733563771,1.8832150837933148
2019-12-06,4.881288337707519,16.266488021171657,0.6800819697258822
2019-12-07,6.488783796628316,49.319890677748965,0.41225893082483006
2019-12-08,38.560308605829874,171.74782539822445,0.8855701812770128
2019-12-09,8.961884832779566,65.1489261227833,0.3928856260602969
